prefix,total_count,entropy,max_byte,max_count,nz
0a0ae9ab,4,0,98,4,255
0a0ae9ab98,4,1,e5,2,254
0a0ae9ab98e5,1,0,b9,1,255
0a0ae9ab98e5b9,1,0,b3,1,255
0a0ae9ab98e5b9b3,1,0,e9,1,255
0a0ae9ab98e5b9b3e9,1,0,83,1,255
0a0ae9ab98e6,1,0,82,1,255
0a0ae9ab98e682,1,0,9d,1,255
0a0ae9ab98e6829d,1,0,e5,1,255
0a0ae9ab98e6829de5,1,0,ae,1,255
0a0ae9ad,4,0,8f,4,255
0a0ae9ad8f,4,0,e6,4,255
0a0ae9ad8fe6,2,1,99,1,254
0a0ae9ad8fe699,1,0,82,1,255
0a0ae9ad8fe69982,1,0,ef,1,255
0a0ae9ad8fe69982ef,1,0,bc,1,255
0a0ae9ad8fe6b8,1,0,85,1,255
0a0ae9ad8fe6b885,1,0,e6,1,255
0a0ae9ad8fe6b885e6,1,0,b2,1,255
0ae2,4,0,96,4,255
0ae296,4,0,a1,4,255
0ae296a1,4,1,e3,2,254
0ae296a1e3,2,0,80,2,255
0ae296a1e380,1,0,8d,1,255
0ae296a1e3808d,1,0,e3,1,255
